,id,annotations,file_upload,drafts,predictions,data,meta,created_at,updated_at,inner_id,total_annotations,cancelled_annotations,total_predictions,comment_count,unresolved_comment_count,last_comment_updated_at,project,updated_by,comment_authors
0,2397,"[{'id': 2222, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'OZB7sR4Y4i', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:01.609001Z', 'updated_at': '2023-02-27T07:12:01.609001Z', 'lead_time': 1.5470000000000002, 'prediction': {}, 'result_count': 0, 'task': 2397, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 0, 'id': 1622509979126345730, 'username': 'dsuperboy', 'text': 'Dulu tinggal di desa, orang tua bikin rumah di tengah sawah malah — di satu bagian yang dikeringkan. Mereka bertani… https://t.co/WnIbrb0uwb', 'retweet_count': 9, 'like_count': 382, 'created_at': '2023-02-06 08:18:18+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:01.680010+00:00,1,1,0,0,0,0,,19,1,[]
1,2398,"[{'id': 2223, 'completed_by': 1, 'result': [{'value': {'choices': ['Positive']}, 'id': 'A8hG_Cynqw', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:02.815791Z', 'updated_at': '2023-02-27T07:12:02.815791Z', 'lead_time': 0.783, 'prediction': {}, 'result_count': 0, 'task': 2398, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 1, 'id': 1622464844325879808, 'username': 'dsuperboy', 'text': 'Kerja keras buat beli waras.', 'retweet_count': 1478, 'like_count': 3865, 'created_at': '2023-02-06 05:18:57+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:02.868326+00:00,2,1,0,0,0,0,,19,1,[]
2,2399,"[{'id': 2224, 'completed_by': 1, 'result': [{'value': {'choices': ['Neutral']}, 'id': '8Ofvku4BK6', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:03.674418Z', 'updated_at': '2023-02-27T07:12:05.868367Z', 'lead_time': 1.162, 'prediction': {}, 'result_count': 0, 'task': 2399, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 2, 'id': 1622162343907192832, 'username': 'dsuperboy', 'text': '@Yan_Djainady 🙏🏻', 'retweet_count': 0, 'like_count': 0, 'created_at': '2023-02-05 09:16:55+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:05.928949+00:00,3,1,0,0,0,0,,19,1,[]
3,2400,"[{'id': 2225, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'MQMrf79ken', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:08.794027Z', 'updated_at': '2023-02-27T07:12:08.794027Z', 'lead_time': 1.087, 'prediction': {}, 'result_count': 0, 'task': 2400, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 3, 'id': 1622110760989241345, 'username': 'dsuperboy', 'text': 'Awal tahun menandatangani 2 kontrak kerjasama dengan penerbit Sigikata. Tahun ini kami berencana menerbitkan 2 judu… https://t.co/e2sgCuspTJ', 'retweet_count': 4, 'like_count': 296, 'created_at': '2023-02-05 05:51:57+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:08.852259+00:00,4,1,0,0,0,0,,19,1,[]
4,2401,"[{'id': 2226, 'completed_by': 1, 'result': [{'value': {'choices': ['Neutral']}, 'id': '6gf-mHBNeL', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:10.872303Z', 'updated_at': '2023-02-27T07:12:10.872303Z', 'lead_time': 1.6760000000000002, 'prediction': {}, 'result_count': 0, 'task': 2401, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 4, 'id': 1622107143704018944, 'username': 'dsuperboy', 'text': '@elisanina19 🙏🏻', 'retweet_count': 0, 'like_count': 47, 'created_at': '2023-02-05 05:37:35+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:10.928131+00:00,5,1,0,0,0,0,,19,1,[]
5,2402,"[{'id': 2227, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'aOCBm-5B45', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:12.041125Z', 'updated_at': '2023-02-27T07:12:12.041125Z', 'lead_time': 0.888, 'prediction': {}, 'result_count': 0, 'task': 2402, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 5, 'id': 1621964620436234240, 'username': 'dsuperboy', 'text': 'https://t.co/OmZHGIzraH', 'retweet_count': 77, 'like_count': 853, 'created_at': '2023-02-04 20:11:14+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:12.095947+00:00,6,1,0,0,0,0,,19,1,[]
6,2403,"[{'id': 2228, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'Y6Rm03mFgU', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:13.346077Z', 'updated_at': '2023-02-27T07:12:13.346077Z', 'lead_time': 1.049, 'prediction': {}, 'result_count': 0, 'task': 2403, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 6, 'id': 1621907929120251905, 'username': 'dsuperboy', 'text': 'Aku tidak kalah, aku hanya sedang mengambil jeda. Membiarkan udara berembus di sekitarku. Mengumpulkan energi dan m… https://t.co/RDfF8EWd5s', 'retweet_count': 1404, 'like_count': 4567, 'created_at': '2023-02-04 16:25:58+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:13.407145+00:00,7,1,0,0,0,0,,19,1,[]
7,2404,"[{'id': 2229, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'WxU3cNVQgO', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:14.324695Z', 'updated_at': '2023-02-27T07:12:14.324695Z', 'lead_time': 0.7030000000000001, 'prediction': {}, 'result_count': 0, 'task': 2404, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 7, 'id': 1621797349487181825, 'username': 'dsuperboy', 'text': 'Alasan lain ke Bukittinggi. https://t.co/kDizjaqyTJ', 'retweet_count': 50, 'like_count': 1136, 'created_at': '2023-02-04 09:06:34+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:14.386112+00:00,8,1,0,0,0,0,,19,1,[]
8,2405,"[{'id': 2230, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'QHoUQzA0j9', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:15.266542Z', 'updated_at': '2023-02-27T07:12:15.266542Z', 'lead_time': 0.672, 'prediction': {}, 'result_count': 0, 'task': 2405, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 8, 'id': 1621733298610511872, 'username': 'dsuperboy', 'text': 'Satu dari banyak alasan ke Bukittinggi. https://t.co/Fz6q1sMU1p', 'retweet_count': 42, 'like_count': 894, 'created_at': '2023-02-04 04:52:03+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:15.322712+00:00,9,1,0,0,0,0,,19,1,[]
9,2406,"[{'id': 2231, 'completed_by': 1, 'result': [{'value': {'choices': ['Positive']}, 'id': '0uJoEdwyCU', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:16.321977Z', 'updated_at': '2023-02-27T07:12:16.321977Z', 'lead_time': 0.801, 'prediction': {}, 'result_count': 0, 'task': 2406, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 9, 'id': 1621728912056389632, 'username': 'dsuperboy', 'text': '@otongkoil Yang penting nggak pakai dukun :(', 'retweet_count': 8, 'like_count': 261, 'created_at': '2023-02-04 04:34:37+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:16.376881+00:00,10,1,0,0,0,0,,19,1,[]
10,2407,"[{'id': 2232, 'completed_by': 1, 'result': [{'value': {'choices': ['Negative']}, 'id': 'C895v50vBf', 'from_name': 'sentiment', 'to_name': 'text', 'type': 'choices', 'origin': 'manual'}], 'was_cancelled': False, 'ground_truth': False, 'created_at': '2023-02-27T07:12:17.377620Z', 'updated_at': '2023-02-27T07:12:17.377620Z', 'lead_time': 0.796, 'prediction': {}, 'result_count': 0, 'task': 2407, 'project': 19, 'parent_prediction': None, 'parent_annotation': None}]",5d4119fc-humandsuperboy.csv,[],[],"{'Unnamed: 0': 10, 'id': 1621465703940489217, 'username': 'dsuperboy', 'text': 'https://t.co/P44JXzDlnr', 'retweet_count': 1222, 'like_count': 5904, 'created_at': '2023-02-03 11:08:43+00:00'}",{},2023-02-27 07:11:57.943070+00:00,2023-02-27 07:12:17.428521+00:00,11,1,0,0,0,0,,19,1,[]
